ID;Name;Latitude;Longitude;Straße;PLZ;Ort;Öffnungszeiten;Homepage;Beschreibung;Erstellungsdatum;Lizenz
90d8f93cc77f485fba519264810acff4;Gesundheitsamt der Stadt Münster;51.96969999092151;7.635499978268286;Stühmerweg 8;48147;Münster;montags - donnerstags 8 - 16 Uhr, freitags 8 - 13 Uhr;https://www.stadt-muenster.de/gesundheit/hygiene-und-umweltmedizin/hitze-und-uv-schutz;Das Gesundheitsamt in Münster bietet im Erdgeschoss  Zugang zu Trinkwasser während der Öffnungszeiten (montags - donnerstags 8 - 16 Uhr, freitags 8 - 13 Uhr).;2024-04-08;CC0-1.0
1bb2e38457d4454fa7c7e7cceae065ad;gruene wiese;51.964331004752;7.624177368182772;Spiekerhof 29;48143;Münster;;https://www.gruenewiese-shop.de/;"Öffnungszeiten:
Montags bis Freitag 11-19 Uhr
Samstag 10:30-18:00 Uhr
";2019-08-04;CC0-1.0
ba29501e17234c2daf5313176f75bfd5;fairTEILBAR Münster;51.950306320539816;7.624563438643032;Hammer Straße 60;48153;Münster;;https://www.fairteilbar-muenster.de/;"Di-Do 10-18 Uhr; Fr 14-18 Uhr; Sa 10-14 Uhr";2024-11-22;CC0-1.0
6045a5d219d44aabafa1117521044c86;forum natura;51.94631368478123;7.630307724527227;Friedrich-Ebert-Str., 114;48153;Münster;;https://www.forumnatura/;"ökologische Baustoffe und Einrichtungen
von Dienstag bis Freitag in der Regel von 9.00 Uhr - 18.00 Uhr";2020-10-24;CC0-1.0
f212c76a1d6a43b89b5babf6e56c4f74;Frau Többen green.fair.fashion;51.95339999718284;7.626100009133155;Hammer Straße 25;48153;Münster;"Mo - Fr 10.00 - 18.30 Uhr; Sa 10.00 - 17.00 Uhr";https://www.frautoebben.de/;"Öffnungszeiten
Mo - Fr 10.00 - 18.30 Uhr
Sa 10.00 - 17.00 Uhr";2025-09-23;CC0-1.0
27157ef2708242c9a0c1fb3300ce52cf;Löwen Tankstelle (Esso);51.92539999816818;7.525599984231219;Dülmener Straße 16;48163;Münster;09:00-20:00;https://www.esso.naserie.com/;Es ist die Esso Tankstelle direkt in die Waschanlage rechts gibt es Leitungswasser (Trinkwasser) dort kann man Flasche auffüllen.;2023-02-14;CC0-1.0
e32dcd4efdbf45bab5db1afcc409431c;The Body Shop;51.960324999857846;7.624085167247841;Aegidiistr. 3;48143;Münster;;;"Öffnungszeiten
Mo - Fr  9.30 - 19.00 Uhr
Sa         9.30 - 18.00 Uhr";2019-08-06;CC0-1.0
162f3845d27d464f88b183819a64ef54;EINZELHANDEL - ZUM WOHLFÜLLEN;51.972928700024696;7.629403736269755;Langemarckstraße 10;48147;Münster;;https://www.einzelhandel.ms/;"Öffnungszeiten:
Mo - Fr: 09:30h- 19:00h
Sa: 10:00h-17:00h

";2019-08-12;CC0-1.0
6f9a4afb6f494af786544032cc73d04f;Unterwegs Outdoor Outlet Münster;51.96519999856371;7.622599977824185;Rosenstraße 5-6 ;48143;Münster ;"Mo. - Fr. 10:00- 18:30 Uhr; Sa. 10:00 - 18:00 Uhr";https://www.unterwegs-muenster.de/outlet/;Outdoorgeschäft & Refill-Station;2024-08-07;CC0-1.0
0bbb6f89ca014522abbe7f6a801ab96e;Schründer Schlafräume;51.95120527965538;7.618460658760025;Weselerstraße 77;48151;Münster;;https://www.schruender.de/;Refill Station;2019-11-25;CC0-1.0
0fd53de760cb4e0aaae46e67df9731e9;Katholisch Soziale Akademie Franz Hitze Haus;51.95599997972883;7.602300014161645;Kardinal von Galen Ring 50;48149;Münster;Mo - Sa 8-18 Uhr, So 8-13 Uhr;;refill leitungswasser;2024-09-04;CC0-1.0
5326e7d5c0814187910a71a1b5d0ccd5;KSHG Münster;51.96380001118584;7.621500020670472;Frauenstraße 3-6;48143;Münster;9.00 - 22.00 Uhr;;Refill Station;2024-10-21;CC0-1.0
e265bcca7bcb4284bc1a468a45ced24c;Kundenservicecenter Stadtwerke Münster;51.95041335744337;7.638621399010821;Hafenplatz 1;48155;Münster;Mo-Fr: 09:00 - 16:00 Uhr;https://www.stadtwerke-muenster.de/;"Kostenloses Trinkwasser
";2025-03-30;CC0-1.0
52c37e7fc3284ffb8a2ebf5acb60a91f;Bahnhofsmission Münster;51.95577878130403;7.635626796463331;Berliner Platz 8-10;48143;Münster;Mo-Fr 8-20 und Sa-So 13-17;;Die BM - Münster ist Refill-Station, dort kann man kostenlos seine Wasserflasche auffüllen lassen. auf Gleis 12;2024-09-03;CC0-1.0
7ad812fd423841cebfa1261ce739a0cf;Draußen e.V.;51.95520001088977;7.624899972055527;Von-Kluck-Straße 15;48143;Münster;10-15;https://strassenmagazin-draussen.de/;Wir sind das Straßenmagazin aus Münster. Wir bieten mo-fr ein kostenloses Frühstück, Dusch- und Waschmöglichkeiten sowie Lebensmittelspenden für Menschen in sozialen/finanziellen Notlagen an. Darüber hinaus sind wir eine Refill-Station.;2025-08-13;CC0-1.0
bfad1249a7b34c4bad13907cf7753652;Autohaus Fischer GmbH | Service;51.93969118499183;7.629951912737429;Dahlweg 121;48153;Münster;Mo-Fr 07:00-18:00;;Wasserflasche leer? Kein Problem! Sagen Sie einfach kurz an der Information Bescheid und füllen Sie Ihre Flasche kostenfrei mit Leitungswasser auf.;2021-08-06;CC0-1.0
ee62ea35a910446e81de5ce9b127cc65;Medizin-Bibliothek;51.960899998415684;7.599199967272207;Albert-Schweitzer-Campus 1, Gebäude A11;48149;Münster;Mo-Do: 08-24 Uhr, Fr: 08-22 Uhr, Sa-So: 10-22 Uhr, Feiertage geschlossen.;https://www.uni-muenster.de/MediBib;Gebäude A11 auf dem Klinikgelände, Hahn befindet sich im Bistro im Erdgeschoss bei den Automaten, Trinkwasser im Erdgeschoss auch via Aufzug erreichbar.;2026-04-01;CC0-1.0
ed0e8e8c23744f48bbd92cb633a49c2e;Blumenhaus Harbaum;51.95960000714268;7.611899975506542;Himmelreichallee 45;48149;Münster;Mo-Fr 8-17Uhr Sa 8-13Uhr Mi nachmittags geschlossen;;Sowohl im Geschäft als auch im Außenverkauf ist das auffüllen deiner Trinkflasche mit Leitungswasser möglich !;2025-07-01;CC0-1.0
610346b4f71c40fdab3f819e31f9518e;Autohaus Fischer GmbH;51.94891064984208;7.6318663394227;48153 ;71-91;Friedrich-Ebert-Str;"Mo-Fr 09:00-18:30; Sa 09:00-13:00";;Wasserflasche leer? Kein Problem! Sagen Sie einfach kurz an der Information Bescheid und füllen Sie Ihre Flasche kostenfrei mit Leitungswasser auf.;2021-08-06;CC0-1.0
